Job Title,Category,Description
Data Scientist,Data Science,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. Skills: Python, R, SQL, Machine Learning, Deep Learning, Pandas, NumPy, Scikit-learn, TensorFlow. Excellent analytical skills and problem-solving ability."
NLP Engineer,NLP Engineer,"We are seeking an NLP Engineer to join our AI team. You will be responsible for transforming natural language data into useful features using NLP techniques. Skills required: Python, Natural Language Processing, spaCy, NLTK, Transformers, BERT, PyTorch, Word2Vec, LLMs. Experience with text classification and sentiment analysis."
Java Backend Developer,Java Developer,"Hiring a Java Developer with experience in building high-performing, scalable, enterprise-grade applications. You will be responsible for Java/Java EE application development while providing expertise in the full software development lifecycle. Skills: Java, Spring Boot, Hibernate, SQL, Microservices, REST API, Git."
Frontend React Developer,Web Designing,"Looking for a skilled Web Designer / Frontend Developer to design and implement attractive web interfaces. You should have a strong understanding of UI/UX principles. Skills: HTML, CSS, JavaScript, React, Angular, Figma, Responsive Design."
DevOps Engineer,DevOps,"We are hiring a DevOps Engineer to help us build functional systems that improve customer experience. Responsibilities include deploying product updates, identifying production issues and implementing integrations. Skills: Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux, Terraform."
Senior Python Developer,Python Developer,"We are looking for a Python Developer to join our engineering team and help us develop and maintain various software products. Skills: Python, Django, Flask, FastAPI, PostgreSQL, AWS, Docker. Strong understanding of REST APIs and system design."
Quality Assurance Automation Tester,Testing,"Seeking a QA Automation Tester to design testing procedures for our software applications. You will be responsible for analyzing functionality and reporting bugs. Skills: Automation Testing, Selenium, Java, Python, Jira, API Testing, Postman."
HR Manager,HR,"We need an HR Manager to oversee all aspects of human resources practices and processes. You will support business needs and ensure the proper implementation of company strategy and objectives. Skills: Recruitment, Human Resources, Talent Acquisition, Employee Relations, Communication."
Business Analyst,Business Analyst,"Looking for a Business Analyst to enhance our business processes. You will evaluate our current systems, discover areas for improvement, and implement solutions. Skills: Business Analysis, Agile, Scrum, Requirement Gathering, SQL, Data Analysis."
Mechanical Design Engineer,Mechanical Engineer,"Hiring a Mechanical Engineer to design and develop mechanical systems. You will be involved in the full engineering lifecycle, from concept to production. Skills: AutoCAD, SolidWorks, Mechanical Engineering, CAD, ANSYS, Product Design."
