Category,Resume
Data Science,"Dedicated Data Science specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving SQL and Statistics. Implemented solutions that improved efficiency by 20%. Skills: SQL, Statistics, Data Science, Scikit-learn, TensorFlow. "
Business Analyst,"Highly skilled Business Analyst with over 5 years of experience. B.S. in relevant field. Worked on various projects involving SQL and Scrum. Implemented solutions that improved efficiency by 20%. Skills: SQL, Scrum, PowerBI, Business Analysis, Communication. "
Web Designing,"Experienced professional with a proven track record in Web Designing. Master's degree in Engineering. Worked on various projects involving UI/UX and HTML. Implemented solutions that improved efficiency by 20%. Skills: UI/UX, HTML, Web Development, JavaScript, React. "
HR,"Highly skilled HR with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Communication and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Communication, Recruitment, Payroll, Human Resources, Sourcing, Employee Relations, HR Policies. "
Java Developer,"Dedicated Java Developer specialist with strong background. B.S. in relevant field. Worked on various projects involving Git and Maven. Implemented solutions that improved efficiency by 20%. Skills: Git, Maven, Junit, REST API, Java, J2EE, Microservices. "
Java Developer,"Results-oriented Java Developer looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Agile and Junit. Implemented solutions that improved efficiency by 20%. Skills: Agile, Junit, J2EE, SQL, REST API, Hibernate, Spring Boot. "
NLP Engineer,"Passionate about NLP Engineer and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Word2Vec and Natural Language Processing. Implemented solutions that improved efficiency by 20%. Skills: Word2Vec, Natural Language Processing, BERT, spaCy, PyTorch, NLP. "
Testing,"Experienced professional with a proven track record in Testing. MBA in Human Resources. Worked on various projects involving Python and Manual Testing. Implemented solutions that improved efficiency by 20%. Skills: Python, Manual Testing, Java, API Testing, Automation Testing, Agile. "
Business Analyst,"Highly skilled Business Analyst with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Data Analysis and Requirement Gathering. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Requirement Gathering, Agile, Business Analysis, Stakeholder Management, Jira, Communication. "
DevOps,"Results-oriented DevOps looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Docker and AWS. Implemented solutions that improved efficiency by 20%. Skills: Docker, AWS, Jenkins, CI/CD, Linux, Terraform, Prometheus, Git. "
Web Designing,"Highly skilled Web Designing with over 5 years of experience. B.S. in relevant field. Worked on various projects involving JavaScript and CSS. Implemented solutions that improved efficiency by 20%. Skills: JavaScript, CSS, Bootstrap, UI/UX, Responsive Design, HTML, Adobe XD. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving Statistics and Data Science. Implemented solutions that improved efficiency by 20%. Skills: Statistics, Data Science, Keras, Data Analysis, SQL. "
